file_name,N_m,NSE_m,RMSE_M,algo_m,m_poly_p1,m_poly_p2,m_poly_p3,m_n3_p1,m_n3_p2,N_nm,NSE_nm,RMSE_nM,algo_nm,nm_poly_p1,nm_poly_p2,nm_poly_p3,nm_n3_p1,nm_n3_p2,name,lat,lon
df_st_Navalgund.xlsx,297,0.9834987153612608,6.822069234571754,1,15.589433026084343,-17447.526228082475,4881772.821911495,,,691,0.9886720357459007,1.8037839334413268,1,10.950255410138087,-12243.206983248536,3422201.0865502795,,,Navalgund,15.57305555555556,75.37305555555555
df_st_NEELEESWARAM.xlsx,2273,0.7654372718234981,170.68501948296156,1,10.697902968763339,198.7670683963809,33.5397270625209,,,6552,0.7861247057994001,127.51332379534331,1,6.763591445961428,228.99401755755136,-36.15727316502589,,,NEELEESWARAM,10.18361111111111,76.49555555555555
df_st_NELLITHURAI.xlsx,1988,0.9609812575438117,23.513511312436794,1,46.6069217704415,-28190.589345508513,4262811.256693723,,,3911,0.9925016235336352,4.990674475112512,1,54.61969324333368,-33057.75960323854,5001919.92349444,,,NELLITHURAI,11.28777777777778,76.89111111111112
df_st_Nowrangpur.xlsx,1977,0.9716479558472667,28.085962855967797,1,27.2527897168816,-29970.021066516456,8239547.677886448,,,3940,0.9871801822617129,4.129511640475899,1,22.771014686513503,-25031.747886441015,6879230.029338568,,,Nowrangpur,19.1975,82.51194444444444
df_st_Oollenur.xlsx,364,0.9964323419879707,15.058719139021465,1,95.04590559838275,-70561.83996086146,13096239.710877523,,,786,0.9761581685148488,14.99778607304634,1,100.97715352983745,-74982.3289180368,13919867.525619654,,,Oollenur,15.49194444444444,76.7175
df_st_OZERKHEDA.xlsx,1901,0.9701102426499005,33.32323623214697,1,31.9073335806544,-5180.707676220156,210295.0350781973,,,2237,0.8003822480996835,6.553536644030568,2,,,,11.54477350399591,80.76736767892957,OZERKHEDA,20.10027777777778,73.27111111111111
df_st_P_G__Bridge.xlsx,669,0.9797319359165569,67.52003191525321,1,42.047505680402075,-16715.52225957906,1661183.4807488532,,,999,0.9905721797529681,11.32137356381899,1,63.47264475029063,-25356.14708278702,2532327.0994871967,,,P.G. Bridge,19.82083333333333,78.56083333333333
df_st_Pachegaon.xlsx,157,0.9143972212672506,31.54479980308895,1,16.36403962437314,-15346.454943165412,3597935.6413161196,,,148,0.8957209456502806,23.422136453647088,1,34.772874700795064,-32741.41542191355,7707145.254434232,,,Pachegaon,19.53527777777778,74.83361111111111
df_st_Padampur.xlsx,364,0.7509537422064195,37.678590770296715,1,32.60522069167283,-11183.329781799051,958934.8094895374,,,280,0.9024153426575774,7.044099420160162,1,32.79033147611943,-11270.773385521565,968505.0683633068,,,Padampur,21.01583333333333,83.10305555555556
df_st_Paderdibadi.xlsx,1396,0.9739185590444176,148.30163723532047,2,,,,3.2940422396008198,130.5227670251209,3081,0.8700668041135314,14.243738625783305,1,58.70320931391596,-15570.805588046616,1032504.9558386202,,,Paderdibadi,23.75888888888889,74.13388888888889
df_st_Paleru_Bridge.xlsx,1164,0.9834488806168623,5.795713308599834,1,47.19434431261809,-6785.556261938232,243905.55379175933,,,2333,0.8412016993671111,4.501771992499362,2,,,,8.713149500617668,71.2441172736486,Paleru Bridge,16.94888888888889,80.04916666666666
df_st_Patan.xlsx,2129,0.9570618729724273,47.23423931280348,1,8.582735206861889,-5836.308779711163,992144.5084815904,,,4149,0.9105229052797529,10.0320187021842,1,11.541085956350061,-7882.412533738504,1345898.1284377342,,,Patan,23.31166666666667,79.66277777777778
df_st_Pathagudem.xlsx,17131,0.7435988443250374,1028.4567057405668,1,98.0010014335791,-16816.22379437457,721348.6783681136,,,4170,0.9718444370678927,64.31254871550814,1,117.23347253927903,-20212.85824019582,871245.254227499,,,Pathagudem,18.81638888888889,80.35
df_st_Pathardihi.xlsx,1713,0.9574160607036559,38.66839527705367,1,32.434976744688235,-17622.413352907144,2393616.3827171065,,,1540,0.9454949312305333,9.142976484987871,1,39.22442300193275,-21336.80134158954,2901628.6136234105,,,Pathardihi,21.34111111111111,81.59388888888888
df_st_Pati.xlsx,1560,0.7701708157846994,17.427630324359217,1,44.63723435710474,-16876.84516981817,1595239.9194160523,,,3040,0.7813029433274818,13.819225061398448,1,48.18435041762381,-18223.23573674741,1723000.8665589897,,,Pati,21.94361111111111,74.745
df_st_PATTAZHY.xlsx,2284,0.7691175440287026,29.57681081726125,1,3.8277709672022766,21.325780068851042,-33.29374066731932,,,4604,0.6752005219029624,23.339861482355953,1,5.079205611197578,15.09899150132443,-28.15789707264475,,,PATTAZHY,9.072777777777777,76.7611111111111
df_st_Pauni.xlsx,227,0.9785069396190135,67.72569051837961,1,101.946239046302,-44665.95932122471,4892397.063829218,,,289,0.9890059168829154,18.05817396339847,2,,,,16.81881621645983,218.37211861826634,Pauni,20.795,79.64944444444446
df_st_PERUMANNU.xlsx,2240,0.9339332714458524,78.78628718064577,1,43.85362587120147,-595.0600882407596,2051.770314666065,,,4523,0.7879643821611183,25.89090089740482,1,21.449652097243373,-250.78491906834861,729.516490425022,,,PERUMANNU,11.9823,75.58415833333333
df_st_Perur.xlsx,2212,0.975037031012784,1157.0874039292967,1,229.699986919399,-32333.03471195819,1137908.516682007,,,4378,0.9527600569478711,244.25088645068124,2,,,,18.942730182599952,68.70735977390693,Perur,18.53666666666667,80.37666666666667
df_st_Phulgaon.xlsx,454,0.7571338195925182,115.38734893366494,1,59.49388744193081,-64215.12039058055,17327792.843495067,,,472,0.7557813873236768,114.08148416795757,1,60.618776279809225,-65434.363764179754,17658167.231519435,,,Phulgaon,18.66638888888889,74.00172222222223
df_st_PINGALWADA.xlsx,2018,0.9116137707391957,33.05471799740175,1,3.252088903655752,-20.24108187423673,15.712527710040119,,,4171,0.8095488146671761,2.1974180398393455,1,3.259163161027202,-27.60876023503215,57.76230876903253,,,PINGALWADA,22.11083333333334,73.0786111111111
df_st_PUDUR.xlsx,2042,0.7642942582166004,10.740420178080596,1,17.35800527540277,-2070.668103669667,61752.619587992165,,,3222,0.8847303905164287,4.529897072456536,1,25.002094100076874,-2993.381318657429,89596.57874897828,,,PUDUR,10.7775,76.51222222222222
df_st_PULAMANTHOLE.xlsx,2191,0.7220889521551352,62.210241582592296,2,,,,2.7520543102900703,9.444567203121075,6295,0.6726693474100047,51.37129403263299,2,,,,3.7891422244676676,10.058925284245293,PULAMANTHOLE,10.89805555555555,76.19194444444445
df_st_Rajegaon.xlsx,1981,0.9480688996267024,120.63067482434198,1,58.23630408596999,-31845.387445616783,4353511.052047726,,,3080,0.772411985829988,13.199708679452543,2,,,,8.707454588890371,272.57835005049014,Rajegaon,21.62388888888889,80.25333333333333
df_st_RAJIM.xlsx,1889,0.9404570115171436,149.09762884910958,1,206.6482075769205,-114163.8402842645,15767563.506685127,,,2724,0.9301848617658898,22.902783184037627,1,199.41094797014617,-110208.97283606013,15227367.532488063,,,RAJIM,20.975,81.88111111111111
df_st_Rajoli.xlsx,1579,0.936615080950571,45.7219506975323,1,26.742401882969887,-9761.549281476573,890782.2019486368,,,1853,0.8833108210410155,7.517967175891923,1,37.68298557397753,-13791.72246633138,1261919.0765861056,,,Rajoli,20.19361111111111,79.66611111111112
df_st_Ramakona.xlsx,2132,0.8059128388035535,43.49374966403043,2,,,,8.63155627802215,336.6552304001205,6323,0.8017263919669285,27.737098635900725,2,,,,10.473487122670338,336.89874850031543,Ramakona,21.71888888888889,78.82416666666666
df_st_RAMAMANGALAM.xlsx,2254,0.9640209101198259,35.088732782456546,1,13.661246751932273,71.53742286642245,-6.808591339015136,,,4577,0.9476044213417899,15.834220578641162,1,13.800256007427524,80.63657730085056,-26.566214192885937,,,RAMAMANGALAM,9.943611111111112,76.47833333333334
df_st_Rangeli.xlsx,1400,0.8382824293022428,53.01968214720903,2,,,,9.686327686065148,150.25547666024536,2926,0.8271050032538039,10.158313968075314,2,,,,47.63956224354048,151.0244365816425,Rangeli,23.87222222222222,74.22416666666666
df_st_Sadalga__Seasonal_.xlsx,1217,0.9607388105468432,68.27788768103888,2,,,,0.6227810992110471,524.2429181644187,263,0.8159421503603487,25.376095566344482,1,3.3718843639712346,-3508.097405771357,912259.6009651886,,,Sadalga (Seasonal),16.56361111111111,74.5275
df_st_Saigaon.xlsx,240,0.9791173425311007,7.459439255323257,1,12.137099078025546,-13175.58728668002,3575727.3335929224,,,262,0.948847509917362,34.893610204049146,2,,,,2.7434082154170567,542.3469656192013,Saigaon,18.05,77.04972222222221
df_st_SAKLESHPUR.xlsx,1959,0.617977679871809,57.671984361838526,2,,,,0.9702849727350519,885.2681869945353,3800,0.6098482060044659,10.41794237493874,1,1.144345495978371,-2018.7701143537438,890313.9860207054,,,SAKLESHPUR,12.94333333333333,75.79388888888889
df_st_Salebardi.xlsx,1618,0.9209695666028105,46.73846160042593,1,48.124371143174415,-21760.91490191776,2459970.257037435,,,1273,0.7207677147337308,6.830347619358955,2,,,,37.75193695658921,226.10863495630588,Salebardi,20.9125,79.92722222222223
df_st_Salebhata.xlsx,1985,0.9657557807288074,88.05595447086417,1,123.45766882088645,-32155.449237253404,2093769.753796809,,,4150,0.964577557621898,9.51076332922272,1,131.70897790439415,-34335.2120401163,2237710.7883288846,,,Salebhata,20.98305555555556,83.53944444444444
df_st_Samdoli__Seasonal_.xlsx,1906,0.9829864459356178,48.76097645907839,1,6.173662391185043,-6484.347313959545,1702479.09268549,,,365,0.7690190581751681,30.83308693207975,1,20.031884080456585,-21247.867566548815,5634431.801226972,,,Samdoli (Seasonal),16.85638888888889,74.49666666666667
df_st_Sangam__Kinnerasani_.xlsx,122,0.998617798125462,0.8668547776177812,1,28.576748502219523,-3007.667616756089,79137.27234849085,,,154,0.9899041656503023,0.44703654443959184,1,34.36175336321507,-3624.37515553547,95572.26367479321,,,Sangam (Kinnerasani),17.59972222222222,80.81638888888888
df_st_SANTEGULI.xlsx,2173,0.8895835884187926,106.59236220559305,1,50.57953069611885,-1106.2789843919954,6052.00097015635,,,4460,0.902684163083672,9.680344279318396,2,,,,5.875757372242956,9.8284112304287,SANTEGULI,14.43444444444444,74.58888888888889
df_st_Saradaput.xlsx,793,0.9885758489529975,4.743847538005385,1,22.072538219256117,-9860.99335710787,1101296.4898525835,,,1562,0.8992281372361366,16.19441001202087,1,19.99421849414006,-8927.650279019645,996512.7962318814,,,Saradaput,18.6125,82.14277777777778
df_st_SARANGKHEDA.xlsx,1359,0.9885741203516537,171.0819492938117,1,74.0659343577936,-16020.751728462717,866147.8678629324,,,502,0.9472296385830203,81.42098344256905,1,113.68975215059942,-24860.685536676272,1359065.2864059845,,,SARANGKHEDA,21.42833333333333,74.52722222222222
df_st_Sarati.xlsx,2974,0.9753786359246155,39.012425216902685,1,54.084433050900124,-50601.578301377456,11835720.018764643,,,433,0.9864121221558437,18.144310374413585,1,61.37798548915312,-57475.55210850906,13455305.0524609,,,Sarati,17.91194444444444,75.0075
df_st_SAVANDAPUR.xlsx,2206,0.8943573747969351,7.198926615198806,1,27.342175576453307,-9855.78937366664,888157.1915544978,,,4563,0.8950050063914213,8.098723934228476,2,,,,9.282658595689005,179.84640831421484,SAVANDAPUR,11.52,77.51
df_st_SAVKHEDA.xlsx,1612,0.987695251484657,85.2214474359931,1,49.94760325412309,-13952.065023512834,974050.8003697724,,,479,0.9978360700051716,31.087113662495586,1,48.696830062333305,-13620.76638665549,952237.5919679594,,,SAVKHEDA,21.14944444444444,75.23194444444445
df_st_SEEDHI.xlsx,1156,0.9125741743036098,17.704228174137288,1,27.53087944677455,-2389.2636274785605,51842.85138375035,,,1477,0.9396471038993233,10.42963009353176,1,35.38890822766365,-3086.783095016656,67313.78235222232,,,SEEDHI,18.72194444444444,84.0436111111111
df_st_Seorinarayan.xlsx,2264,0.9683329549893313,365.2547943470984,1,157.34588985747612,-66708.05845354006,7070312.310672084,,,4520,0.7597993514808637,138.89368939121047,2,,,,28.829463216739477,211.91987491270817,Seorinarayan,21.71833333333333,82.5975
df_st_Shimoga.xlsx,726,0.9857527952897811,60.47665916766587,1,70.67897863455161,-79300.16632426354,22243183.34588314,,,2003,0.7216853583324252,221.98898304783688,1,79.29361530291413,-89026.48712312944,24988526.052382126,,,Shimoga,13.92694444444444,75.585
df_st_Simga.xlsx,2029,0.9761568488836915,143.1482459343426,2,,,,3.9919393951555624,243.21967985175982,3743,0.9642746047491524,21.392431638922215,1,56.020284518127575,-27451.703831411254,3363007.349261587,,,Simga,21.63305555555556,81.685
df_st_Srikakulam.xlsx,2300,0.8800424969868695,66.7744944334064,1,113.59966338144906,-1754.973152179521,6790.504647593188,,,4549,0.8977843224076296,37.91498034159224,2,,,,24.922878178978905,7.024833550484811,Srikakulam,18.31333333333333,83.88416666666667
df_st_Sundergarh.xlsx,2229,0.9526974225159316,67.47119044654819,2,,,,18.670259106800433,215.7354153143967,4515,0.8705755601932539,22.329530085052713,1,97.93490234594968,-42436.13092876107,4596992.498216714,,,Sundergarh,22.11527777777778,84.0111111111111
df_st_T__BEKKUPE.xlsx,1334,0.7492453576351961,4.929752343968282,1,28.5206973556734,-34465.39941390851,10412298.91338234,,,2731,0.8188276639197326,2.6787233321995676,2,,,,8.532762604818554,603.6742356601203,T. BEKKUPE,12.50722222222222,77.42805555555556
df_st_T__NARASIPUR.xlsx,974,0.8163387955364336,65.3972851332761,1,31.23025469333086,-39615.30468092211,12562939.846671963,,,2563,0.7682105183301775,52.37261453036339,1,37.20296859595866,-47223.30994234116,14985665.055470688,,,T. NARASIPUR,12.23027777777778,76.89444444444445
df_st_T__Ramapuram.xlsx,1302,0.9597344818315203,27.05050292850467,1,88.23646758356136,-61716.26835123788,10791734.517953627,,,2090,0.9206689434389722,25.051730376771456,2,,,,18.258306680048204,349.1399559111184,T. Ramapuram,15.66111111111111,76.96555555555555
df_st_T_K_HALLI.xlsx,1382,0.9430763304630839,14.848735537073955,2,,,,6.669292178757637,579.9555720798522,3172,0.9274651404005236,12.640549829936058,1,21.332198080206936,-24757.758500244818,7183347.268067181,,,T.K.HALLI,12.41194444444444,77.19277777777778
df_st_Tadipatri.xlsx,3317,0.8757491221351105,12.472217199173302,1,152.05994236173032,-68235.3456054246,7654977.3457533475,,,3317,0.8757491221351105,12.472217199173302,1,152.05994236173032,-68235.3456054246,7654977.3457533475,,,Tadipatri,14.92194444444444,78.01638888888888
df_st_Takli.xlsx,671,0.960253587183941,221.23759874394764,1,43.84338886844658,-35969.35748218006,7377348.185661024,,,201,0.8610519647467616,174.91740434720293,2,,,,2.050096358520811,407.8310771416291,Takli,17.41416666666667,75.84777777777778
df_st_Talikot.xlsx,231,0.9687868971706597,5.429685386199516,1,7.026318900827641,-6964.882979967396,1725973.4007463725,,,130,0.9710689657659282,3.7699356659457135,1,10.307721027290542,-10246.505276319673,2546413.005423762,,,Talikot,16.48361111111111,76.28444444444445
df_st_Terwad__Seasonal_.xlsx,1440,0.981780157923164,72.5626256603957,2,,,,0.4289646790397034,520.5031384053565,331,0.8881061825354888,22.121233331878674,1,7.716842826208606,-8079.17691597308,2114631.147021998,,,Terwad (Seasonal),16.67638888888889,74.57416666666666
df_st_THENGUMARAHADA.xlsx,2221,0.960725125254621,3.073051134416631,1,39.73895470260991,-26886.38039974551,4547661.776224739,,,4508,0.9112949030046283,2.4132865226737445,1,33.750325483224216,-22829.556755337435,3860617.3638740513,,,THENGUMARAHADA,11.57277777777778,76.91916666666667
df_st_THENI.xlsx,1864,0.978222977929866,2.2288501557319838,1,30.068821043142044,-16759.061931530054,2335194.015481777,,,4019,0.9581078135336841,4.136737993830418,1,24.76103377717625,-13794.81851703402,1921333.5933498996,,,THENI,10.00111111111111,77.485
df_st_THIMMANAHALLI.xlsx,1857,0.9779875469027162,3.3864387268390206,2,,,,5.801692692387731,904.7451622650765,3682,0.9723445105306765,1.9048833132232756,1,20.595059013590514,-37284.31211267542,16874433.53463351,,,THIMMANAHALLI,12.98527777777778,76.03777777777778
df_st_THUMPAMON.xlsx,2156,0.9092167235870926,19.1321456477936,1,11.481508256997955,-107.89643166215795,247.33614762839463,,,2516,0.819105949215404,19.066529827419696,1,11.621259604651865,-111.44250628066236,262.2250334463417,,,THUMPAMON,9.227777777777778,76.7
df_st_Tikarpara.xlsx,1023,0.9341054664803619,1018.2301332803743,1,58.2661684509892,-5806.666321819967,143459.03828847292,,,2126,0.9409195666835989,199.8539256595434,1,81.49338077816644,-8568.969270516865,225218.02755774668,,,Tikarpara,20.59944444444444,84.78166666666667
df_st_Triveni.xlsx,1928,0.850930528957133,734.429861399499,1,337.4995025315642,-70040.56265110322,3634131.504411623,,,5790,0.8921701888173823,570.0123221795127,1,323.99584227648137,-67174.31668159024,3481995.8509088675,,,Triveni,27.43805555555556,83.90555555555557
df_st_URACHIKOTTAI.xlsx,1611,0.9680147046685138,55.46436240365898,1,98.71006388767601,-31234.978674613492,2470967.748965667,,,2510,0.9701065877154502,42.20166247447782,2,,,,11.772271420517736,156.90672514577335,URACHIKOTTAI,11.47777777777778,77.7
